disc_year,hostname,pl_dens,pl_letter,pl_massj,pl_orbper,pl_orbsmax,pl_radj,st_lum,st_rad,st_spectype,sy_bmag,sy_dist,sy_vmag
2014,"Kepler-353",,"c",,8.41089400,0.065000,0.123,,0.50,,18.3330000,384.6940000,16.1260000
2016,"Kepler-1529",,"b",,5.33905686,,0.187,,0.77,,16.7160000,661.0140000,15.2970000
2016,"Kepler-1048",,"b",,6.92101021,,0.144,,0.70,,16.6170000,556.0060000,15.1380000
2016,"Kepler-1377",,"b",,0.74092842,,0.112,,0.82,,16.7210000,1146.1000000,15.8570000
2016,"Kepler-779",,"b",,7.09714223,,0.082,,0.44,,17.1900000,283.1550000,16.3030000
2014,"Kepler-271",,"b",,10.43547805,,0.110,,0.87,,14.3700000,404.5420000,13.5780000
2016,"Kepler-1143",,"b",,2.88890485,,0.149,,0.77,,16.4220000,555.1890000,15.4930000
2016,"Kepler-850",,"b",,7.19303878,,0.159,,1.09,,16.3850000,1661.2800000,15.6110000
2014,"Kepler-188",,"b",,2.06189700,0.032000,0.150,,1.14,,15.5990000,968.5440000,14.7190000
2014,"Kepler-367",,"b",,37.81572400,0.201000,0.116,,0.69,,14.2190000,188.0270000,13.1930000
2014,"Kepler-355",,"c",,25.76229400,0.179000,0.242,,1.07,,15.7040000,1432.1700000,15.2420000
2014,"Kepler-356",,"c",,13.12163200,0.115000,0.161,,1.33,,13.8730000,707.5590000,13.0580000
2014,"Kepler-189",,"b",,10.39993100,0.088000,0.108,,0.75,,16.1130000,591.5340000,14.9710000
2014,"Kepler-122",,"e",,37.99327300,0.227000,0.232,,1.22,,14.9790000,1027.4500000,14.4030000
2014,"Kepler-215",,"c",,14.66710800,0.113000,0.158,,1.03,,14.3000000,485.9970000,13.6780000
2014,"Kepler-369",,"b",,2.73275600,0.030000,0.101,,0.47,,18.0410000,,16.4290000
2014,"Kepler-374",,"d",,5.02821900,0.056000,0.117,,0.91,,15.4590000,1265.6100000,14.7010000
2016,"Kepler-629",,"b",,7.23858540,,0.123,,0.84,,14.5060000,372.0500000,13.4810000
2016,"Kepler-563",,"b",,22.18432708,,0.276,,0.77,,16.0170000,565.2070000,14.9010000
2016,"Kepler-614",,"b",,14.03491514,,0.213,,0.81,,15.7450000,527.9950000,14.8100000
2016,"Kepler-652",,"b",,4.18200253,,0.222,,0.88,,14.7990000,394.5500000,13.6180000
2016,"Kepler-1026",,"b",,36.51560530,,0.197,,0.75,,15.3980000,351.2390000,14.4630000
2012,"Kepler-80",1.38000,"b",0.02180,7.05246000,0.064800,0.238,-0.770,0.68,"K5",16.3030000,369.4510000,15.2300000
2016,"Kepler-80",,"f",,0.98678730,0.017500,0.108,-0.770,0.68,"K5",16.3030000,369.4510000,15.2300000
2014,"Kepler-296",,"b",,10.86438400,0.079000,0.144,,0.48,,18.5890000,,16.3630000
2023,"Kepler-1126",,"c",,199.66876000,0.619300,,,0.92,,14.9180000,635.7360000,14.2210000
2016,"Kepler-886",,"b",,6.24146367,,0.136,,1.16,,14.6420000,711.2970000,14.0540000
2016,"Kepler-883",,"b",,12.98495573,,0.159,,1.09,,13.8040000,627.4550000,13.1690000
2014,"Kepler-204",,"c",,25.66059300,0.173000,0.160,,1.24,,15.3870000,686.7230000,13.9770000
2014,"Kepler-235",,"b",,3.34022200,0.037000,0.199,,0.55,,18.3940000,428.0180000,16.5670000
